number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y;
2.5 rooms ; 54 m² ; Apartment;Chemin Du Cap 1; 1006 Lausanne;Open kitchen to living room;Modern bathroom;Full-length balcony;CHF 1,750.-;CHF 389 / m² / year;
2 rooms ; 53 m² ; Apartment;Rue De La Tour; 1004 Lausanne;Very bright;Equipped kitchen;Public transport nearby;CHF 1,120.-;CHF 254 / m² / year;
3.5 rooms ;; Apartment;Rue De La Borde; 1018 Lausanne;Quiet courtyard location;Equipped kitchen & balcony;Large rooms & cellar;CHF 2,165.-;—;
1.5 rooms ; 43 m² ; Apartment;Rue Mathurin-Cordier 7; 1005 Lausanne;Quiet city center;Balcony;Cellar available;CHF 1,020.-;CHF 285 / m² / year;
1.5 rooms ; 45 m² ; Apartment;Chemin De Mornex; 1003 Lausanne;Lausanne city center;Very bright;Private laundry;CHF 1,543.-;CHF 411 / m² / year;
4 rooms ; 104 m² ; Apartment;Chemin De Mornex 13; 1003 Lausanne;Large renovated apartment;Fully equipped kitchen;Veranda;CHF 3,095.-;CHF 357 / m² / year;
3.5 rooms ; 71 m² ; Apartment;;1006 Lausanne;Prestigious, century-old building;Open-plan kitchen, fully equipped;Near park and public transport;CHF 2,740.-;CHF 463 / m² / year;
4.5 rooms ; 90 m² ; Apartment;;1006 Lausanne;Beautiful new apartment;Near station and amenities;Large park nearby;CHF 3,230.-;CHF 431 / m² / year;
3.5 rooms ; 72 m² ; Apartment;Avenue Victor-Ruffy 48; 1012 Lausanne;Recently renovated;Balcony and cellar;Near CHUV and public transport;CHF 2,120.-;CHF 353 / m² / year;
3.5 rooms ; 72 m² ; Apartment;Avenue Antoine-Michel-Servan; 1006 Lausanne;Minergie construction;Large windows;Space for washer/dryer;CHF 2,815.-;CHF 469 / m² / year;
3.5 rooms ; 85 m² ; Apartment;Rue Beau-Séjour 8A; 1003 Lausanne;Stunning lake and mountain view;Modern fitted kitchen;Indoor parking available;CHF 4,060.-;CHF 573 / m² / year;
1 room ; 24 m² ; Apartment;Place Du Vallon 18; 1005 Lausanne;Close to public transport;Fully furnished studio;Ideal for students;CHF 880.-;CHF 440 / m² / year;
3.5 rooms ; 69 m² ; Apartment;Avenue De France 20; 1004 Lausanne;Modern renovated kitchen;Two spacious bedrooms;Quiet and pleasant area;CHF 2,300.-;CHF 400 / m² / year;
2 rooms ; 50 m² ; Apartment;Chemin De Renens 58; 1004 Lausanne;Near Malley station;bright rooms;secure building;CHF 1,425.-;CHF 342 / m² / year;
4 rooms ; 103 m² ; Apartment;Chemin Des Mésanges 6; 1012 Lausanne;Large terrace and private garden (200 m2);Bright open kitchen;Indoor parking available;CHF 3,600.-;CHF 419 / m² / year;
1.5 rooms ; 35 m² ; Apartment;Rue Saint-Roch 5; 1004 Lausanne;Equipped kitchen;Small balcony;Parking available;CHF 990.-;CHF 339 / m² / year;
4.5 rooms ; 120 m² ; Apartment;Route De Berne 111; 1010 Lausanne;Private garden retreat;Close to public transport;Secure building access;CHF 3,270.-;CHF 327 / m² / year;
1 room ; 21 m² ; Apartment;Avenue De Cour 63; 1007 Lausanne;Balcony;City center;Near the lake;CHF 1,320.-;CHF 754 / m² / year;
1 room ; 17 m² ; Apartment;Chemin De Montolivet 19; 1006 Lausanne;Furnished with sink;Shared kitchen and bath;Available August 2025;CHF 885.-;CHF 625 / m² / year;
2.5 rooms ; 48 m² ; Apartment;Rue Du Maupas 42c; 1004 Lausanne;Near city center;Public transport access;Balcony & cellar;CHF 1,520.-;CHF 380 / m² / year;
2.5 rooms ; 79 m² ; Duplex;Rue Du Flon 12; 1003 Lausanne;Minergie building, 2013;Near metro and parking;Balcony and cellar included;CHF 2,565.-;CHF 390 / m² / year;
2 rooms ; 58 m² ; Apartment;Chemin Des Faverges 16; 1006 Lausanne;Equipped kitchen;Balcony;Quiet area;CHF 1,635.-;CHF 338 / m² / year;
3.5 rooms ; 95 m² ; Apartment;Route Aloys-Fauquez 4; 1018 Lausanne;Equipped open kitchen;Near all amenities;Outdoor parking space;CHF 2,410.-;CHF 304 / m² / year;
4.5 rooms ; 190 m² ; Apartment;Avenue De Béthusy 74; 1012 Lausanne;Minergie-certified building;Pool, sauna & gym access;Lake view balcony;CHF 5,300.-;CHF 335 / m² / year;
1 room ; 40 m² ; Apartment;Avenue Victor-Ruffy 32; 1012 Lausanne;Near public transport & shops;Furnishable hallway;Equipped kitchen;CHF 1,250.-;CHF 375 / m² / year;
1 room ; 27 m² ; Apartment;Chemin Isabelle-De-Montolieu 161; 1010 Lausanne;Near CHUV and highway;Sunny balcony;Cellar included;CHF 950.-;CHF 422 / m² / year;
4 rooms ; 100 m² ; Furnished apartment;Boulevard De Grancy; 1006 Lausanne;Large private garden;City center, near station;Easy transport access;CHF 4,750.-;CHF 570 / m² / year;
6.5 rooms ; 170 m² ; Stepped apartment;Chemin De Villard 18; 1007 Lausanne;Heated private pool;Stunning lake view;Large private garden;CHF 4,450.-;CHF 314 / m² / year;
3.5 rooms ; 76 m² ; Apartment;Rue Chaucrau 10; 1003 Lausanne;Bright living area;Spacious mezzanine;Close to public transport;CHF 2,240.-;CHF 354 / m² / year;
3.5 rooms ; 70 m² ; Apartment;Chemin Du Presbytère 7; 1004 Lausanne;Lausanne city center;Modernly equipped;Balcony;CHF 2,500.-;CHF 429 / m² / year;
3.5 rooms ;; Apartment;Rue De La Pontaise 47; 1018 Lausanne;High ceilings with moldings;Original parquet flooring;Close to amenities and bus;CHF 2,060.-;—;
5.5 rooms ; 148 m² ; Apartment;Chemin De La Joliette 4; 1006 Lausanne;Spacious living/dining area;2 bathrooms, sep. WC;Large balcony;CHF 4,568.-;CHF 370 / m² / year;
1 room ; 39 m² ; Apartment;Rue De Genève 77; 1004 Lausanne;Renovated 5th floor unit;Equipped kitchen included;Protected rent for 3 years;CHF 1,072.-;CHF 330 / m² / year;
4 rooms ; 103 m² ; Apartment;Chemin Des Mésanges 6; 1012 Lausanne;Large terrace & private garden;Bright open-plan kitchen;Indoor parking space;CHF 3,350.-;CHF 390 / m² / year;
1 room ; 26 m² ; Apartment;Avenue De Valmont 7; 1010 Lausanne;Open kitchen;WC/Shower;Bright apartment;CHF 1,175.-;CHF 542 / m² / year;
2.5 rooms ; 66 m² ; Apartment;Place Du Nord 6; 1005 Lausanne;Spacious bedroom;Large living area;Complete cellar;CHF 1,550.-;CHF 282 / m² / year;
1 room ; 40 m² ; Apartment;Rue Saint-Pierre 1; 1003 Lausanne;40m2, historic charm;Central St-Pierre area;Equipped kitchen, washer;CHF 1,650.-;CHF 495 / m² / year;
2 rooms ; 66 m² ; Apartment;Avenue De Cour 46; 1007 Lausanne;South-facing balcony;Equipped eat-in kitchen;Excellent public transport;CHF 1,925.-;CHF 350 / m² / year;
1 room ; 27 m² ; Apartment;;1003 Lausanne;Lake view;Eco-friendly habitat;Shared spaces included;CHF 1,105.-;CHF 491 / m² / year;
1 room ; 24 m² ; Apartment;;1003 Lausanne;Stunning lake view;Sustainable eco-habitat;Near train station;CHF 1,015.-;CHF 508 / m² / year;
3.5 rooms ;; Apartment;Chemin Isabelle-De-Montolieu 173; 1010 Lausanne;6th floor location;Balcony & cellar;Outdoor parking space;CHF 1,670.-;—;
2 rooms ; 77 m² ; Apartment;Chemin Du Treyblanc 4; 1006 Lausanne;Charming entry with fireplace;Stunning mountain and lake views;Cozy kitchen with small balcony;CHF 2,450.-;CHF 382 / m² / year;
3 rooms ; 91 m² ; Apartment;Rue Des Fontenailles 10; 1007 Lausanne;Exceptional lakeside location;Equipped kitchen with dishwasher;Close to transport and shops;CHF 2,450.-;CHF 323 / m² / year;
3.5 rooms ; 92 m² ; Apartment;Avenue De Florimont 22a; 1006 Lausanne;Ideal location near shops;Stunning lake and Alps view;High-quality finishes;CHF 3,900.-;CHF 509 / m² / year;
3 rooms ; 55 m² ; Apartment;Avenue Des Oiseaux 9; 1018 Lausanne;Fitted kitchen;Bathroom/WC;Wardrobes;CHF 1,710.-;CHF 373 / m² / year;
3.5 rooms ; 86 m² ; Apartment;Avenue De France 18a; 1004 Lausanne;Lausanne City Centre;Fitted kitchen;Bathroom with tub;CHF 2,405.-;CHF 336 / m² / year;
3.5 rooms ; 67 m² ; Apartment;Avenue Jomini 18; 1004 Lausanne;Quiet location, city center;West-facing balcony;Fully equipped kitchen;CHF 2,000.-;CHF 358 / m² / year;
3 rooms ; 79 m² ; Apartment;;1006 Lausanne;Quiet location, near station;Beautiful hardwood floors;Functional kitchen & bath;CHF 1,590.-;CHF 242 / m² / year;
2.5 rooms ;; Penthouse;Avenue Du Mont-D'or; 1007 Lausanne;Lake view from both sides;Ideal location near shops;Complete basement;CHF 1,950.-;—;
2.5 rooms ; 55 m² ; Apartment;Avenue Du Temple 13b; 1012 Lausanne;Quiet location in Chailly;Balcony available;Parking in the residence;CHF 1,815.-;CHF 396 / m² / year;
2.5 rooms ;; Apartment;Rue Du Maupas; 1004 Lausanne;Lausanne city center;Near Coop and Migros;Close to bus stop;CHF 1,446.-;—;
3.5 rooms ; 68 m² ; Apartment;Rue De Strasbourg; 1004 Lausanne;Charming 68m², ground floor;Fully equipped kitchen;Near park and public transport;CHF 1,900.-;CHF 335 / m² / year;
2.5 rooms ; 65 m² ; Apartment;Avenue De Morges 163; 1004 Lausanne;Modern equipped kitchen;Prime location near Coop;Private cellar;CHF 1,300.-;CHF 240 / m² / year;
4.5 rooms ; 16 m² ; Apartment;Avenue Édouard Dapples 50; 1006 Lausanne;Near station and lake;Prestigious neighborhood;Balcony;CHF 1,000.-;CHF 750 / m² / year;
1 room ; 27 m² ; Apartment;Chemin De Boston; 1004 Lausanne;City centre location;Fully furnished;Wi-Fi included;CHF 1,350.-;CHF 600 / m² / year;
1 room ; 65 m² ; Apartment;Avenue De Provence 29; 1007 Lausanne;Modern and cozy;Private loggia;Near public transport;CHF 2,050.-;CHF 378 / m² / year;
1 room ; 66 m² ; Apartment;Avenue De Tivoli 24; 1007 Lausanne;Spacious new attic apartment;Equipped kitchen;Bathroom and storage room;CHF 1,750.-;CHF 318 / m² / year;
2.5 rooms ; 55 m² ; Apartment;Passage Saint-François; 1003 Lausanne;Prime central location;Bright with large windows;Fully equipped kitchen;CHF 2,000.-;CHF 436 / m² / year;
2 rooms ; 60 m² ; Apartment;Route De Berne 111; 1010 Lausanne;Close to public transport;Equipped kitchen included;Near shops and amenities;CHF 1,740.-;CHF 348 / m² / year;
5 rooms ; 118 m² ; Apartment;Rue De L'aurore 2; 1005 Lausanne;Charming apartment in Lausanne;Original parquet floors;Near transport and shops;CHF 2,430.-;CHF 247 / m² / year;
1 room ; 38 m² ; Apartment;Avenue Du Grammont 18; 1007 Lausanne;Quiet area, near shops;Balcony & cellar;Open kitchen with window;CHF 990.-;CHF 313 / m² / year;
3 rooms ; 75 m² ; Apartment;Chemin De Boissonnet; 1010 Lausanne;Quiet location by the Flon river;Modern kitchen;Balcony;CHF 2,014.-;CHF 322 / m² / year;
2.5 rooms ; 55 m² ; Apartment;Avenue Frédéric Recordon 2; 1004 Lausanne;Spacious living area;Two large balconies;Modern kitchen;CHF 2,005.-;CHF 437 / m² / year;
5.5 rooms ; 108 m² ; Duplex;Chemin De Renens 2; 1004 Lausanne;Near public transport, shops & schools;Open kitchen & dining area;Spacious terrace;CHF 3,150.-;CHF 350 / m² / year;
3.5 rooms ; 77 m² ; Apartment;Avenue Des Boveresses 31b; 1010 Lausanne;Near forest and vita course;Kitchen with dishwasher;5 min to highway;CHF 1,869.-;CHF 291 / m² / year;
3 rooms ; 83 m² ; Apartment;Chemin Des Clochetons 6; 1004 Lausanne;Near the park and city center;Three spacious balconies;Kitchen with dishwasher;CHF 2,110.-;CHF 305 / m² / year;
2 rooms ; 89 m² ; Apartment;Chemin Du Cap 17; 1006 Lausanne;Private garden;Open kitchen;Near transport;CHF 2,300.-;CHF 310 / m² / year;
2.5 rooms ; 75 m² ; Apartment;Rue Dr. César-Roux 4; 1005 Lausanne;75m² living space;Sunny balcony;Central, quiet location;CHF 1,983.-;CHF 317 / m² / year;
2 rooms ; 55 m² ; Apartment;Rue Dr. César-Roux 14; 1005 Lausanne;Near city center;Balcony;Equipped kitchen;CHF 1,225.-;CHF 267 / m² / year;
2 rooms ; 44 m² ; Apartment;Rue Du Maupas 65; 1004 Lausanne;Central and quiet location;Equipped kitchen;Group visit possible;CHF 1,442.-;CHF 393 / m² / year;
3.5 rooms ; 82 m² ; Apartment;;1004 Lausanne;Modern and bright;Large balcony;Green areas;CHF 2,237.-;CHF 327 / m² / year;
5 rooms ; 140 m² ; Apartment;;1004 Lausanne;Exceptional lake view;Bright and spacious rooms;Close to public transport;CHF 3,900.-;CHF 334 / m² / year;
6.5 rooms ; 175 m² ; Apartment;Chemin Du Devin 47b; 1012 Lausanne;200 sqm terrace with lake view;Exclusive pool for residents;Close to international school;CHF 6,200.-;CHF 425 / m² / year;
2.5 rooms ;; Apartment;Avenue Du Temple 13b; 1012 Lausanne;Quiet residence with balcony;Fully equipped kitchen;Close to public transport;CHF 1,815.-;—;
4.5 rooms ; 100 m² ; Apartment;Chemin De Beau-Rivage; 1006 Lausanne;Lake view;Large balcony;Quiet location;CHF 3,300.-;CHF 396 / m² / year;
1 room ; 22 m² ; Apartment;Rue De L'ale 7; 1003 Lausanne;Modern furnishings included;Bright and airy space;Convenient city location;CHF 1,250.-;CHF 682 / m² / year;
3.5 rooms ; 63 m² ; Apartment;Rue Saint-Martin 32; 1005 Lausanne;Bright rooms with parquet flooring;Balcony;Close to amenities;CHF 1,957.-;CHF 373 / m² / year;
2.5 rooms ; 45 m² ; Attic flat;Avenue De Morges 76; 1004 Lausanne;Sunny balcony with lake view;Bright apartment, 5th floor;Cellar and parking included;CHF 1,500.-;CHF 400 / m² / year;
2 rooms ; 52 m² ; Apartment;Avenue Du Tribunal-Fédéral 36; 1005 Lausanne;Quiet neighborhood;Near shops and city center;Bedroom with balcony;CHF 1,580.-;CHF 365 / m² / year;
3.5 rooms ; 91 m² ; Apartment;Avenue Alexandre-Vinet 27; 1004 Lausanne;Near Lausanne Cathedral;Ground floor apartment;Outdoor parking available;CHF 1,860.-;CHF 245 / m² / year;
3.5 rooms ;; Apartment;;1004 Lausanne;Close to public transport;Balcony or terrace desired;Quiet and respectful tenant;CHF 1,800.-;—;
1.5 rooms ; 29 m² ; Apartment;Rue Du Grand-Pré 8; 1007 Lausanne;Elevator access to 4th floor;Private balcony with lighting;Close to public transport;CHF 1,301.-;CHF 538 / m² / year;
5.5 rooms ; 123 m² ; Apartment;Avenue Juste-Olivier; 1006 Lausanne;4 Balconies with Lake View;Fully Renovated Interior;Private Parking Available;CHF 4,400.-;CHF 429 / m² / year;
2 rooms ; 40 m² ; Apartment;Boulevard de Grancy 46; 1006 Lausanne;Completely renovated in 2021;Modern kitchen with appliances;Convenient location near station;CHF 1,550.-;CHF 465 / m² / year;
2 rooms ; 35 m² ; Apartment;Place De La Palud; 1003 Lausanne;Bright living area;Equipped kitchen;Central location;CHF 1,190.-;CHF 408 / m² / year;
2.5 rooms ; 52 m² ; Apartment;Route De Chavannes 62; 1007 Lausanne;Bright loggia with view;Washer/dryer in apartment;Quiet location near highway;CHF 1,710.-;CHF 395 / m² / year;
2.5 rooms ; 64 m² ; Apartment;Avenue Des Boveresses 6; 1010 Lausanne;Bright living room with balcony;New triple-glazed windows;Private cellar storage;CHF 1,985.-;CHF 372 / m² / year;
2.5 rooms ; 60 m² ; Apartment;Avenue Du Denantou 25; 1006 Lausanne;Quiet neighborhood retreat;Balcony with lake views;Close to public transport;CHF 1,748.-;CHF 350 / m² / year;
2.5 rooms ; 65 m² ; Apartment;Chemin Du Devin 8; 1012 Lausanne;Modern open kitchen;Recently renovated;Quiet neighborhood;CHF 2,050.-;CHF 378 / m² / year;
4.5 rooms ; 90 m² ; Apartment;Avenue Frédéric-César-De-La-Harpe 45; 1007 Lausanne;Bright 3 cozy bedrooms;Fully equipped kitchen;Close to metro and lake;CHF 1,750.-;CHF 233 / m² / year;
3.5 rooms ; 90 m² ; Apartment;Avenue De Morges 145; 1004 Lausanne;Underfloor heating;Garden view;Spacious basement;CHF 2,350.-;CHF 313 / m² / year;
2.5 rooms ; 70 m² ; Apartment;Avenue De L'église-Anglaise 6; 1006 Lausanne;Fully renovated interiors;Prime location near amenities;Spacious 70m2 living area;CHF 2,700.-;CHF 463 / m² / year;
3.5 rooms ; 76 m² ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Fully renovated;Cellar available;Parking available;CHF 2,085.-;CHF 329 / m² / year;
3.5 rooms ; 80 m² ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Fully renovated;Balcony available;Cellar included;CHF 2,180.-;CHF 327 / m² / year;
3.5 rooms ; 76 m² ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Renovated building;Office room included;Parking available;CHF 2,080.-;CHF 328 / m² / year;
3 rooms ; 77 m² ; Apartment;Rue Dr. César-Roux 5; 1005 Lausanne;Fully renovated;Balcony;Cellar and parking;CHF 2,090.-;CHF 326 / m² / year;
2.5 rooms ; 70 m² ; Apartment;Avenue de l'Université 24; 1005 Lausanne;Close to public transport;Spacious living area;Modern kitchen amenities;CHF 1,870.-;CHF 321 / m² / year;
3 rooms ; 57 m² ; Apartment;Chemin Vermont 22; 1006 Lausanne;Ground floor apartment;Equipped kitchen;Terrace;CHF 1,559.-;CHF 328 / m² / year;
4 rooms ; 84 m² ; Apartment;Chemin De Renens 22; 1004 Lausanne;Quiet green neighborhood;Fully equipped kitchen;Balcony with nice view;CHF 2,020.-;CHF 289 / m² / year;
1 room ; 20 m² ; Studio;Chemin Du Devin 47c; 1012 Lausanne;Bright living space;Equipped kitchen;Shared swimming pool;CHF 1,250.-;CHF 750 / m² / year;
1 room ; 40 m² ; Apartment;Avenue Victor-Ruffy 32; 1012 Lausanne;Close to amenities;Well-equipped kitchen;Flexible hall space;CHF 1,250.-;CHF 375 / m² / year;
2 rooms ; 58 m² ; Apartment;Rue Du Petit-Beaulieu; 1004 Lausanne;Equipped kitchen included;Bright living area;Close to city amenities;CHF 1,630.-;CHF 337 / m² / year;
1 room ; 30 m² ; Apartment;Chemin De Boston; 1004 Lausanne;Spacious balcony with view;Modern Italian shower;Fully furnished and equipped;CHF 1,500.-;CHF 600 / m² / year;
1.5 rooms ; 30 m² ; Apartment;Avenue De La Gare 40; 1003 Lausanne;Near train station & metro;Garden view;Fully furnished;CHF 1,900.-;CHF 760 / m² / year;
1.5 rooms ; 38 m² ; Apartment;Rue Du Flon 12; 1003 Lausanne;Modern and fully furnished;Equipped kitchen and dining area;Near the metro;CHF 2,000.-;CHF 632 / m² / year;
2.5 rooms ; 57 m² ; Apartment;Route Du Pavement 79b; 1018 Lausanne;No deposit required;Close to city and nature;Private terrace included;CHF 1,830.-;CHF 385 / m² / year;
5 rooms ; 162 m² ; Apartment;Avenue Du Léman 30; 1005 Lausanne;Exceptional lake view;Spacious south terrace;Fully equipped kitchen;CHF 4,483.-;CHF 332 / m² / year;
3.5 rooms ; 63 m² ; Apartment;Rue Saint-Martin 32; 1005 Lausanne;Sunny balcony for relaxation;Open kitchen with living area;Cozy parquet flooring throughout;CHF 1,990.-;CHF 379 / m² / year;
2.5 rooms ; 50 m² ; Apartment;Avenue de France; 1004 Lausanne;Prime location in Lausanne;Fully equipped kitchen;Laundry facilities available;CHF 1,750.-;CHF 420 / m² / year;
2.5 rooms ; 67 m² ; Apartment;;1004 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 1,840.-;CHF 330 / m² / year;
3 rooms ; 62 m² ; Apartment;Chemin des Glycines 2; 1004 Lausanne;Quiet zone 30 location;Close to shops and parks;Ideal for family living;CHF 1,750.-;CHF 339 / m² / year;
1 room ; 37 m² ; Apartment;Chemin Antoine-De-Chandieu 22; 1006 Lausanne;Equipped separate kitchen;Balcony with quiet view;Shared laundry facilities;CHF 1,090.-;CHF 354 / m² / year;
4 rooms ; 111 m² ; Apartment;Chemin De Mornex 17; 1003 Lausanne;Spacious living areas;Elegant wooden floors;Bright, peaceful location;CHF 3,200.-;CHF 346 / m² / year;
2.5 rooms ; 48 m² ; Apartment;Chemin Riant-Pré; 1010 Lausanne;Spacious 16m2 balcony;Includes private parking box;Convenient metro access;CHF 1,650.-;CHF 413 / m² / year;
6.5 rooms ; 170 m² ; Attic flat;Rue Du Maupas 49; 1004 Lausanne;Panoramic terrace 150m2;Open kitchen with fireplace;Winter garden included;CHF 4,400.-;CHF 311 / m² / year;
